date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-01 17:45:00,-8.87,-7.275,926.038,36.559,39.35,35.415,24.2133,0.343867
2019-01-01 18:00:00,-9.6325,-8.052,926.038,38.077,20.2,18.18,12.4,0
2019-01-01 18:15:00,-10.375,-8.516,926.04,39.723,0,0,0.56,0
2019-01-01 18:30:00,-11.2625,-8.874,926.056,41.322,0,0,0,0
2019-01-01 18:45:00,-12.1325,-9.197,926.078,42.114,0,0,0,0
2019-01-01 19:00:00,-12.9975,-9.351,926.077,42.346,0,0,0,0
2019-01-01 19:15:00,-14,-9.542,926.076,42.785,0,0,0,0
2019-01-01 19:30:00,-14.66,-9.79,926.077,43.265,0,0,0,0
2019-01-01 19:45:00,-14.55,-10.044,926.077,44.547,0,0,0,0
2019-01-01 20:00:00,-14.29,-9.962,926.077,44.223,0,0,0,0
2019-01-01 20:15:00,-14.8675,-9.847,926.076,43.908,0,0,0,0
2019-01-01 20:30:00,-15.99,-10.194,926.076,45.182,0,0,0,0
2019-01-01 20:45:00,-16.5,-10.706,926.077,47.408,0,0,0,0
2019-01-01 21:00:00,-16.805,-10.684,926.076,47.708,0,0,0,0
2019-01-01 21:15:00,-17.385,-10.556,926.078,47.049,0,0,0,0
2019-01-01 21:30:00,-18.39,-10.738,926.078,47.951,0,0,0,0
2019-01-01 21:45:00,-19.5325,-10.963,926.077,49.031,0,0,0,0
2019-01-01 22:00:00,-20.37,-11.763,926.078,52.526,0,0,0,0
2019-01-01 22:15:00,-20.5325,-10.999,926.077,51.44,0,0,0,0
2019-01-01 22:30:00,-21.475,-10.753,926.076,49.857,0,0,0,0
2019-01-01 22:45:00,-21.9,-11.205,926.074,51.204,0,0,0,0
2019-01-01 23:00:00,-22.565,-11.039,926.076,50.732,0,0,0,0
2019-01-01 23:15:00,-22.4875,-10.825,926.076,49.281,0,0,0,0
2019-01-01 23:30:00,-22.65,-10.638,926.076,48.795,0,0,0,0
2019-01-01 23:45:00,-23.06,-11.289,926.078,51.098,0,0,0,0
2019-01-02 00:00:00,-23.2475,-11.851,926.078,52.669,0,0,0,0
2019-01-02 00:15:00,-23,-11.293,926.077,51.019,0,0,0,0
2019-01-02 00:30:00,-23.1625,-12.165,926.077,53.786,0,0,0,0
2019-01-02 00:45:00,-23.4375,-13.097,926.078,57.127,0,0,0,0
2019-01-02 01:00:00,-24.0575,-13.015,926.078,56.132,0,0,0,0
2019-01-02 01:15:00,-24.8375,-13.303,926.078,57.486,0,0,0,0
2019-01-02 01:30:00,-23.625,-13.499,926.077,58.03,0,0,0,0
